"","abk4","abk5","abk6","å2","å4","å5","score"
"174",1,0,2,1,4,4,0.240380993375375
"175",4,3,4,3,3,4,1.70829186756232
"176",2,4,3,4,5,4,1.91057907120444
"178",4,2,2,3,3,2,0.867107951806302
"179",1,2,4,1,3,3,0.556608844613631
"180",4,5,3,4,3,3,1.91057907120444
"181",1,2,1,1,2,2,-0.268760303120514
"182",2,0,2,1,0,2,-0.653716862786949
"183",3,5,4,4,3,3,1.91057907120444
"184",2,2,2,4,3,2,0.711920207975147
"185",4,5,4,4,5,5,3.50198175767104
"186",3,0,2,2,2,1,-0.0923087656361556
"187",3,4,5,3,4,3,1.91057907120444
"188",3,2,3,2,4,4,1.18363121821464
"190",3,3,4,2,2,2,0.867107951806302
"191",2,4,3,2,4,3,1.18363121821464
"193",1,1,0,1,2,2,-0.653716862786949
"194",1,1,3,0,2,3,-0.0923087656361554
"195",2,3,2,3,3,3,0.867107951806302
"196",1,3,2,4,5,1,0.867107951806302
"197",4,5,5,5,5,5,4
"198",3,2,4,4,4,4,1.70829186756231
"199",4,5,4,4,2,3,1.91057907120444
"200",3,5,5,4,5,5,3.50198175767104
"201",3,5,4,4,4,5,2.69093400477097
"203",0,1,1,1,1,1,-1.11029181779559
"204",4,5,3,2,1,5,1.52267753168192
"206",3,3,4,5,5,5,2.69093400477097
"207",3,4,4,4,4,4,2.13576872839157
"208",2,2,4,2,2,2,0.55660884461363
"209",3,2,3,4,5,4,1.70829186756231
"210",4,5,3,2,5,2,1.70829186756232
"212",2,2,2,3,3,2,0.55660884461363
"214",1,2,2,2,4,4,0.711920207975147
"215",4,5,4,5,5,5,4
"216",2,2,3,4,4,4,1.34901929418055
"217",3,1,4,1,3,2,0.556608844613631
"218",2,1,1,3,3,4,0.556608844613631
"219",4,5,3,5,5,5,3.50198175767104
"220",2,2,3,2,2,1,0.240380993375375
"221",2,0,2,2,0,0,-0.869903638863462
"222",2,3,3,2,2,2,0.55660884461363
"223",3,3,3,3,3,3,1.18363121821464
"224",0,1,1,0,1,3,-0.869903638863462
"225",3,2,3,3,3,3,1.02374270150756
"227",2,3,2,2,2,2,0.399884001157097
"229",3,1,3,2,4,3,0.867107951806302
"230",2,4,2,3,4,2,1.02374270150756
"231",2,4,4,2,3,2,1.02374270150756
"232",4,5,5,5,5,5,4
"233",2,3,2,2,3,5,1.02374270150756
"234",4,3,1,1,3,1,0.399884001157097
"235",0,3,2,1,1,1,-0.454858729849938
"237",3,4,4,4,4,2,1.70829186756231
"239",2,4,2,2,3,4,1.02374270150756
"241",3,4,2,3,4,4,1.52267753168192
"242",4,4,5,2,4,2,1.70829186756232
"243",2,4,3,3,1,4,1.02374270150756
"244",0,2,4,2,2,1,0.076815997184901
"245",3,1,3,1,3,4,0.711920207975147
"246",2,0,3,0,1,2,-0.454858729849938
"247",2,3,2,2,3,3,0.711920207975147
"249",1,0,0,1,1,2,-1.11029181779559
"250",2,1,4,4,2,1,0.55660884461363
"251",1,3,3,3,3,2,0.711920207975147
"252",2,3,3,1,2,3,0.55660884461363
"253",1,2,2,2,1,0,-0.454858729849938
"254",3,2,3,3,4,2,1.02374270150756
"255",3,2,2,4,5,1,1.02374270150756
"256",1,4,3,4,3,3,1.18363121821464
"257",3,3,2,2,4,4,1.18363121821464
"258",2,3,4,2,3,3,1.02374270150756
"259",4,3,4,3,3,2,1.34901929418055
"260",3,2,3,4,3,4,1.34901929418055
"261",2,3,2,4,4,3,1.18363121821464
"262",4,1,4,3,2,2,0.867107951806302
"263",4,4,4,4,4,4,2.39211090015895
"264",3,2,2,0,3,0,-0.0923087656361552
"265",3,2,4,5,5,4,2.13576872839157
"266",1,2,2,2,1,2,-0.0923087656361553
"267",3,2,3,4,4,5,1.70829186756231
"268",2,4,3,2,3,3,1.02374270150756
"269",4,5,5,4,5,4,3.50198175767104
"271",3,3,5,2,2,5,1.52267753168192
"272",4,4,4,3,4,4,2.13576872839157
"273",3,2,3,5,3,3,1.34901929418055
"274",2,4,3,2,3,3,1.02374270150756
"276",2,4,3,2,2,3,0.867107951806302
"279",4,5,4,5,4,3,2.69093400477097
"280",3,2,1,4,4,4,1.18363121821464
"281",2,3,1,3,1,3,0.399884001157097
"282",1,0,1,2,3,0,-0.653716862786949
"283",4,3,4,4,2,4,1.70829186756232
"284",2,1,3,2,1,4,0.399884001157097
"285",4,2,1,4,4,4,1.34901929418055
"286",4,4,3,3,5,5,2.39211090015895
"288",3,5,4,4,3,4,2.13576872839157
"289",4,3,3,5,4,4,2.13576872839157
"290",0,2,1,3,0,0,-0.869903638863462
"291",3,1,3,4,4,4,1.34901929418055
"292",3,0,3,1,3,2,0.240380993375375
"293",2,1,3,2,4,4,0.867107951806302
"294",4,5,5,5,4,5,4
"295",1,1,1,1,1,0,-1.11029181779559
"296",4,5,5,3,5,3,2.69093400477097
"297",2,2,4,2,1,2,0.399884001157097
"298",3,4,4,5,5,3,2.39211090015895
"299",4,5,4,4,4,3,2.39211090015895
"300",3,5,5,4,3,4,2.39211090015895
"301",3,5,3,3,3,3,1.52267753168192
"304",2,3,3,1,3,3,0.711920207975147
"305",4,5,4,5,3,5,3.04980799727316
"306",2,2,4,3,5,4,1.52267753168192
"307",0,0,0,1,0,1,-2.13191076047669
"308",3,2,5,2,4,3,1.34901929418055
"309",1,1,2,1,2,3,-0.0923087656361555
"310",1,0,0,0,1,2,-1.38554238525159
"311",3,4,3,3,4,4,1.70829186756232
"312",2,4,3,2,3,3,1.02374270150756
"314",3,3,4,2,2,3,1.02374270150756
"315",3,4,3,3,5,4,1.91057907120444
"316",3,5,3,4,4,4,2.13576872839157
"317",4,2,4,2,4,4,1.52267753168192
"318",2,2,2,4,4,5,1.34901929418055
"319",3,2,5,3,4,3,1.52267753168192
"321",4,4,3,4,3,4,1.91057907120444
"322",3,2,3,2,1,1,0.240380993375375
"323",2,1,3,1,1,3,0.0768159971849011
"324",3,4,4,5,5,5,3.04980799727316
"325",4,5,3,4,5,4,2.69093400477097
"328",0,1,2,0,1,1,-1.11029181779559
"329",3,4,4,4,3,4,1.91057907120444
"330",2,1,3,2,1,2,0.0768159971849011
"331",2,2,1,1,2,2,-0.0923087656361554
"332",4,3,0,3,3,3,0.867107951806302
"333",3,1,2,3,3,4,0.867107951806302
"334",2,1,4,4,3,2,0.867107951806302
"335",3,5,2,1,2,5,1.18363121821464
"336",2,4,2,4,4,4,1.52267753168192
"337",1,1,4,1,1,2,-0.0923087656361554
"338",4,5,4,4,2,4,2.13576872839157
"340",2,1,3,1,1,1,-0.268760303120514
"341",3,3,3,2,1,2,0.55660884461363
"342",3,4,4,4,4,3,1.91057907120444
"343",2,2,3,3,3,2,0.711920207975147
"344",3,5,5,4,4,4,2.69093400477097
"345",3,5,4,4,4,5,2.69093400477097
"346",3,0,3,4,4,4,1.18363121821464
"347",0,1,1,1,0,1,-1.38554238525159
"348",1,2,2,1,3,4,0.399884001157097
"349",3,3,4,4,4,5,2.13576872839157
"350",3,2,2,4,4,2,1.02374270150756
"351",1,1,4,1,1,3,0.0768159971849011
"352",2,1,1,3,1,1,-0.268760303120513
"353",3,3,3,4,4,3,1.52267753168192
"354",2,1,2,4,4,3,0.867107951806302
"355",3,1,4,2,3,2,0.711920207975147
"357",4,2,2,3,4,5,1.52267753168192
"359",4,3,5,4,5,5,3.04980799727316
"360",4,5,5,5,5,5,4
"361",0,5,1,5,4,1,0.867107951806302
"362",3,4,5,3,5,3,2.13576872839157
"363",3,1,3,3,2,3,0.711920207975147
"364",4,5,4,5,5,5,4
"365",4,5,5,3,4,3,2.39211090015895
"366",3,4,3,4,3,4,1.70829186756231
"368",4,3,3,3,1,3,1.02374270150756
"369",3,3,2,3,0,0,0.0768159971849011
"370",3,5,4,4,5,4,2.69093400477097
"371",4,5,3,2,2,4,1.52267753168192
"372",0,1,4,4,3,3,0.711920207975147
"373",2,3,2,2,2,4,0.711920207975147
"374",3,5,5,4,4,4,2.69093400477097
"375",2,2,2,2,2,1,0.0768159971849011
"376",2,1,1,4,4,3,0.711920207975147
"377",3,3,4,2,4,2,1.18363121821464
"378",0,1,1,3,1,1,-0.653716862786949
"379",4,4,3,3,4,3,1.70829186756231
"381",2,2,3,2,2,3,0.55660884461363
"382",2,0,5,0,5,0,0.240380993375375
"383",4,4,5,4,5,5,3.50198175767104
"384",3,4,5,4,5,4,2.69093400477097
"386",4,4,5,4,2,4,2.13576872839157
"387",2,1,1,1,2,2,-0.268760303120514
"388",4,4,5,4,4,4,2.69093400477097
"389",2,1,1,2,4,3,0.399884001157097
"391",3,2,4,3,2,1,0.711920207975147
"392",2,1,2,3,3,4,0.711920207975147
"393",2,3,3,3,2,3,0.867107951806302
"396",2,1,2,2,1,1,-0.268760303120514
"398",1,2,4,3,3,1,0.556608844613631
"400",0,0,0,1,1,0,-2.13191076047669
"401",0,2,2,1,1,3,-0.268760303120513
"402",1,2,2,2,1,1,-0.268760303120513
"403",3,4,4,3,3,4,1.70829186756232
"404",3,2,0,0,1,1,-0.653716862786949
"406",1,2,3,2,3,2,0.399884001157097
"407",2,4,2,2,3,1,0.55660884461363
"408",3,4,4,3,3,3,1.52267753168192
"409",2,3,3,1,1,2,0.240380993375375
"410",4,3,5,2,2,4,1.52267753168192
"411",3,2,3,4,4,3,1.34901929418055
"412",3,4,4,4,4,4,2.13576872839157
"413",3,5,4,4,3,1,1.52267753168192
"414",1,1,3,2,2,2,0.076815997184901
"416",3,4,3,2,3,5,1.52267753168192
"417",2,2,4,4,2,4,1.18363121821464
"421",1,1,3,2,1,1,-0.268760303120513
"422",2,2,1,1,1,1,-0.454858729849938
"423",0,2,1,1,0,2,-0.869903638863462
"424",2,2,1,1,2,2,-0.0923087656361554
"425",2,2,2,2,1,1,-0.0923087656361554
"426",2,1,1,2,2,2,-0.0923087656361553
"427",2,4,2,1,3,2,0.55660884461363
"429",3,2,4,3,3,3,1.18363121821464
"432",3,5,3,2,4,4,1.70829186756232
"434",4,2,4,4,4,4,1.91057907120444
"435",3,4,3,3,3,2,1.18363121821464
"436",4,5,0,5,4,0,1.18363121821464
"437",4,1,3,4,5,5,1.91057907120444
"438",3,2,2,2,3,1,0.399884001157097
"441",3,2,4,0,3,3,0.711920207975147
"442",0,5,2,3,0,1,0.0768159971849011
"443",2,1,3,5,5,5,1.70829186756231
"444",3,2,3,3,4,4,1.34901929418055
"445",3,3,4,3,4,4,1.70829186756232
"446",2,0,0,0,2,0,-1.38554238525159
"447",3,3,4,4,4,4,1.91057907120444
"448",3,5,4,4,4,4,2.39211090015895
"450",1,0,1,1,1,1,-1.11029181779559
"451",1,1,2,1,2,2,-0.268760303120514
"452",2,3,4,4,2,2,1.02374270150756
"453",2,3,3,3,3,3,1.02374270150756
"454",1,1,2,2,2,2,-0.0923087656361554
"455",4,5,5,5,5,4,4
"456",3,2,4,3,2,3,1.02374270150756
"457",2,4,3,4,4,4,1.70829186756232
"458",4,5,5,5,5,5,4
"459",1,4,4,2,4,4,1.34901929418055
"460",2,2,4,2,3,3,0.867107951806302
"462",3,3,1,3,1,3,0.556608844613631
"463",4,4,2,5,4,2,1.70829186756232
"466",3,3,5,3,4,4,1.91057907120444
"467",1,0,1,0,1,0,-1.7140802476022
"468",2,2,3,2,2,4,0.711920207975148
"469",4,3,4,5,5,3,2.39211090015895
"470",3,3,3,3,3,5,1.52267753168192
"473",0,1,0,1,1,1,-1.38554238525159
"474",3,4,1,3,3,2,0.867107951806302
"475",3,3,3,3,4,4,1.52267753168192
"476",1,1,1,2,2,2,-0.268760303120513
"478",2,2,2,1,2,2,0.076815997184901
"479",3,3,3,2,3,2,0.867107951806302
"480",3,1,3,5,4,4,1.52267753168192
"481",2,2,3,1,4,5,1.02374270150756
"482",3,3,3,2,3,0,0.556608844613631
"483",3,4,3,0,1,4,0.711920207975147
"485",3,4,3,4,3,3,1.52267753168192
"486",4,4,4,3,5,2,1.91057907120444
"488",3,3,4,4,4,4,1.91057907120444
"490",2,3,3,3,3,4,1.18363121821464
"491",2,3,2,3,4,3,1.02374270150756
"492",2,4,2,3,2,1,0.55660884461363
"493",2,1,3,3,2,2,0.399884001157097
"494",4,5,4,5,1,4,2.13576872839157
"495",3,3,3,1,2,1,0.399884001157097
"496",2,3,2,3,3,2,0.711920207975147
"497",2,1,0,2,2,2,-0.268760303120513
"499",1,2,1,1,2,5,0.240380993375375
"500",1,1,1,1,2,0,-0.869903638863462
"501",4,5,4,4,4,4,2.69093400477097
"502",0,1,1,3,3,3,0.076815997184901
"503",2,2,4,4,4,3,1.34901929418055
"504",3,1,3,3,2,2,0.55660884461363
"505",1,1,3,2,2,4,0.399884001157097
"507",4,5,4,4,5,4,3.04980799727316
"508",2,1,3,1,3,2,0.240380993375375
"509",0,0,2,1,1,0,-1.38554238525159
"510",2,3,3,4,4,4,1.52267753168192
"511",3,4,3,3,4,3,1.52267753168192
"512",2,4,4,2,3,4,1.34901929418055
"513",3,2,2,1,2,1,0.0768159971849009
"516",2,4,1,3,3,3,0.867107951806302
"517",3,1,0,2,3,1,-0.0923087656361555
"518",4,3,2,3,4,2,1.18363121821464
"519",2,2,3,3,3,3,0.867107951806302
"521",4,5,4,3,3,2,1.70829186756232
"522",2,1,2,3,2,2,0.240380993375375
"524",4,5,5,5,5,5,4
"526",1,2,3,3,2,2,0.399884001157097
"527",3,3,3,3,3,1,0.867107951806302
"528",3,4,2,4,4,3,1.52267753168192
"529",2,2,1,1,2,2,-0.0923087656361554
"530",4,3,5,4,4,4,2.39211090015895
"531",2,1,2,1,3,2,0.0768159971849009
"532",2,3,4,4,3,3,1.34901929418055
"533",3,4,4,4,3,4,1.91057907120444
"535",1,2,0,1,2,3,-0.268760303120514
"536",3,2,3,3,4,4,1.34901929418055
"537",3,4,3,4,4,4,1.91057907120444
